Information listing created by	Miguel F. Vieira
Date	08-Dec-2023 11:57:06
Current work part	C:\Universidade\MComp\Trabalho Computacional\NX Geom Simples\T3\fem1simplesT3.fem
Node name	DESKTOP-A2B5UUA


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector     | Connected Nodes
  1                    | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 2 28 29
  2                    | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 2 3 28
  3                    | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 29 24 25
  4                    | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 29 28 24
  5                    | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 26 172 30
  6                    | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 26 171 172
  7                    | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 30 173 1
  8                    | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 30 172 173
  9                    | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 25 30 29
  10                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 25 26 30
  11                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 29 1 2
  12                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 29 30 1
  13                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 5 27 31
  14                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 5 6 27
  15                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 31 21 22
  16                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 31 27 21
  17                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 23 28 32
  18                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 23 24 28
  19                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 32 3 4
  20                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 32 28 3
  21                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 22 32 31
  22                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 22 23 32
  23                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 31 4 5
  24                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 31 32 4
  25                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 16 33 34
  26                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 16 17 33
  27                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 34 10 11
  28                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 34 33 10
  29                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 15 34 35
  30                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 15 16 34
  31                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 35 11 12
  32                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 35 34 11
  33                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 13 186 36
  34                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 13 185 186
  35                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 36 187 14
  36                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 36 186 187
  37                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 12 36 35
  38                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 12 13 36
  39                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 35 14 15
  40                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 35 36 14
  41                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 20 27 38
  42                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 20 21 27
  43                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 38 6 7
  44                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 38 27 6
